obs,Data,FipeZap_POA_3Dorm,Rent_Yield_Br,IPCA_POA,SINAPI_RS,Tx_financ_imob,CUB_RS_varmens,PIB_RS_vartrimestr,Tx_desocup_RS,SELIC_aa,IBCR_RS,Tx_desocup_BR
2017M02,42767,0.220037162657523,0.329910118312608,0.24,0.26,0.74,0.101752157723056,2.14785403914126,9.3,13,142.09,13.3
2017M03,42795,0.330877822997211,0.33015490559734,0.24,0.36,0.79,0.242226755963748,2.14785403914126,9.3,12.25,170.23,13.9
2017M04,42826,0.162273798076486,0.32961450247344,0.22,0.16,0.73,-0.0690404102151043,1.0806308225809,8.6,12.25,148.69,13.7
2017M05,42856,-0.0339398777628663,0.329546850971956,0.48,0.34,0.79,0.0582930919087676,1.0806308225809,8.6,11.25,128.05,13.4
2017M06,42887,0.142930396560592,0.329471572017867,-0.28,-0.25,0.74,2.02036911834516,1.0806308225809,8.6,10.25,122.12,13.1
2017M07,42917,-0.0149814381041312,0.329974199044341,-0.12,1.85,0.74,0.104340714733908,-3.21901344939189,8.2,10.25,122,12.9
2017M08,42948,0.203443875847257,0.329256894012209,0.33,0.27,0.69,0.366220394250316,-3.21901344939189,8.2,9.25,123.21,12.7
2017M09,42979,-0.0079680612428627,0.328438007873596,0.07,0.27,0.68,0.155777448758343,-3.21901344939189,8.2,9.25,118.32,12.5
2017M10,43009,0.253724741625652,0.327317371805608,0.32,-0.2,0.69,-0.0980852360701334,1.20846359544844,8.1,8.25,121.65,12.3
2017M11,43040,-0.284755272936904,0.32739943126281,0.55,0.32,0.64,1.03020484876535,1.20846359544844,8.1,7.5,124.47,12.1
2017M12,43070,-0.0582592853401748,0.327516196275082,0.28,0.18,0.65,0.197137343643727,1.20846359544844,8.1,7.5,129.93,11.9
2018M01,43101,-0.302352130634206,0.33021904057222,0.68,0.11,0.67,-0.17388774195336,2.04571953188715,8.6,7,128.12,12.3
2018M02,43132,0.000283635311769837,0.331365003266912,0.08,0.49,0.67,0.539921579513503,2.04571953188715,8.6,7,138.08,12.7
2018M03,43160,-0.00411133728840408,0.333008953428369,0.11,-0.07,0.66,0.211909741635763,2.04571953188715,8.6,6.75,161.42,13.2
2018M04,43191,0.113791628879876,0.333485661921963,0.4,0.65,0.66,0.352183496349356,-3.02542009269623,8.4,6.5,149.68,13
2018M05,43221,0.315710111960645,0.333722426481591,0.75,0.14,0.65,-0.331042416396865,-3.02542009269623,8.4,6.5,124.3,12.8
2018M06,43252,-0.01781070524796,0.333540449218337,1.43,1.59,0.65,2.10110943536557,-3.02542009269623,8.4,6.5,125.77,12.6
2018M07,43282,-0.00561422462537208,0.333356289643781,0.05,0.31,0.64,0.878186968838524,5.66968633334983,8.3,6.5,127.78,12.4
2018M08,43313,-0.276277450343887,0.333118100799723,-0.1,-0.23,0.64,0.311576469958963,5.66968633334983,8.3,6.5,131.08,12.3
2018M09,43344,-0.326285168169107,0.332219994687755,0.57,0.42,0.62,0.21062734956141,5.66968633334983,8.3,6.5,124.63,12
2018M10,43374,-0.204535385621318,0.331170120975321,0.72,0.68,0.63,0.0658489863246903,0.378110267858056,7.5,6.5,130.65,11.9
2018M11,43405,-0.223172105993796,0.330294783373661,-0.42,0.39,0.63,0.245275619337537,0.378110267858056,7.5,6.5,131.56,11.7
2018M12,43435,-0.244004713284654,0.33132252502118,0.26,0.58,0.63,0.468795586558102,0.378110267858056,7.5,6.5,130.08,11.7
2019M01,43466,-0.200117691405788,0.333963408783033,0.08,0.24,0.67,-0.238913931586149,-0.843356391969541,8,6.5,131.82,12.2
2019M02,43497,-0.414632515728708,0.335948225911742,0.15,0.36,0.62,0.0919573688284325,-0.843356391969541,8,6.5,145.18,12.6
2019M03,43525,-0.313555287304013,0.338253750229912,1.18,0.52,0.63,0.41508037225042,-0.843356391969541,8,6.5,164.68,12.8
2019M04,43556,-0.546262882180137,0.340952209251727,0.83,0.15,0.63,0.011189805429046,-0.209568211339095,8.3,6.5,155.56,12.6
2019M05,43586,-0.0162706532386814,0.344285209425348,0.12,0.15,0.63,0.134920791623072,-0.209568211339095,8.3,6.5,132.97,12.4
2019M06,43617,0.144135892675368,0.346380507112071,-0.41,0.28,0.62,-0.072298975983609,-0.209568211339095,8.3,6.5,125.53,12.1
2019M07,43647,0.0708158851610463,0.347898549115873,0.54,0.14,0.63,-0.111157883659119,-0.751647814101919,8.9,6.5,128.93,12
2019M08,43678,-0.152770158381998,0.348143568633144,-0.04,2.37,0.67,2.8985888968637,-0.751647814101919,8.9,6,127.99,11.9
2019M09,43709,0.0557206186555304,0.348978545092854,-0.04,0.49,0.62,0.246370041402955,-0.751647814101919,8.9,6,123.9,11.9
2019M10,43739,-0.0123079381165292,0.348701317801039,-0.01,0.62,0.6,0.117456304977859,0.334926120171142,7.3,5.5,130.33,11.8
2019M11,43770,0.321066880991805,0.350262788152921,0.47,-0.09,0.58,-0.0248664226781825,0.334926120171142,7.3,5,130.91,11.3
2019M12,43800,0.0131095587076802,0.351702615594851,1.15,0,0.58,0.0835464511891093,0.334926120171142,7.3,5,130.19,11.1
2020M01,43831,0.365625966988059,0.352116344125482,0.17,0.49,0.6,0.287389281845418,-2.61878115206198,8.5,4.5,129.65,11.4
2020M02,43862,0.359765747285845,0.354251497015069,0.16,0.24,0.59,0.521663987393661,-2.61878115206198,8.5,4.5,136.87,11.8
2020M03,43891,0.0991653691548633,0.356994641808312,-0.32,-0.02,0.58,0.841961542837644,-2.61878115206198,8.5,4.25,147.23,12.4
2020M04,43922,-0.102361744809165,0.359443670563756,-0.05,0.47,0.58,0.117216392743869,-15.3881224118383,9.7,3.75,123.48,12.7
2020M05,43952,-0.222621131800949,0.360754649623519,-0.44,0.01,0.58,0.293010937822835,-15.3881224118383,9.7,3.75,114.3,13.1
2020M06,43983,0.378646072422439,0.360829367343903,0.35,-0.01,0.58,0.210376492767916,-15.3881224118383,9.7,3,115.28,13.6
2020M07,44013,0.904114728015992,0.359238595047563,0.37,0.2,0.58,0.136426497888187,17.1912462212789,10.5,2.25,120.48,14.1
2020M08,44044,0.803203316410861,0.357239121482093,0.33,0.25,0.58,1.39226725559114,17.1912462212789,10.5,2.25,121.43,14.8
2020M09,44075,0.169127571817618,0.354264455796461,0.68,0.94,0.58,2.72605118325224,17.1912462212789,10.5,2,121.98,14.9
2020M10,44105,-0.153312796822735,0.353215980290386,0.63,1.39,0.57,2.25472746168456,2.72058834817424,8.6,2,127.64,14.6
2020M11,44136,0.0660148116881754,0.351960064726732,0.8,2.79,0.57,1.53620598010524,2.72058834817424,8.6,2,128.89,14.4
2020M12,44166,0.53887863172577,0.352394734878138,1.85,3.04,0.57,1.61133514735576,2.72058834817424,8.6,2,130.44,14.2
2021M01,44197,0.341333736203842,0.351266567551498,0.25,1.61,0.57,3.53729788486798,3.31328033769374,9.5,2,128.26,14.5
2021M02,44228,0.552604998932771,0.351968559046194,0.86,1.17,0.56,1.47090988626422,3.31328033769374,9.5,2,145.62,14.6
2021M03,44256,0.281310636451293,0.352627031734795,0.95,1.12,0.56,2.41472220725332,3.31328033769374,9.5,2,171.62,14.9
2021M04,44287,0.172220483981711,0.353022038455068,0.19,2.05,0.54,1.59062567416115,2.11877278458976,8.9,2.75,158.9,14.8
2021M05,44317,0.657312265993948,0.352570826185501,1.04,1.17,0.54,2.87247376653512,2.11877278458976,8.9,2.75,129.09,14.7
2021M06,44348,0.846373847036519,0.351120960651482,0.79,1.23,0.54,3.62702648273083,2.11877278458976,8.9,3.5,124.26,14.2
2021M07,44378,0.908747833751411,0.350067768824194,1.23,2.83,0.55,1.49739583333335,-3.48285531279763,8.4,4.25,126.74,13.7
2021M08,44409,0.342223562057686,0.349797082499496,0.71,1.21,0.56,0.532775506687222,-3.48285531279763,8.4,4.25,126.54,13.1
2021M09,44440,0.410516874954525,0.350452730065491,1.53,1.81,0.58,1.05514262995252,-3.48285531279763,8.4,5.25,123.59,12.6
